sample_name,file_name,location,diet,replicate
lisbon_m9_rep2,lisbon_m9_rep2_counts.txt,lisbon,m9,rep2
lisbon_m9_rep3,lisbon_m9_rep3_counts.txt,lisbon,m9,rep3
lisbon_op50_rep1,lisbon_op50_rep1_counts.txt,lisbon,op50,rep1
lisbon_op50_rep2,lisbon_op50_rep2_counts.txt,lisbon,op50,rep2
lisbon_op50_rep3,lisbon_op50_rep3_counts.txt,lisbon,op50,rep3
lisbon_pf_rep1,lisbon_pf_rep1_counts.txt,lisbon,pf,rep1
lisbon_pf_rep2,lisbon_pf_rep2_counts.txt,lisbon,pf,rep2
lisbon_pf_rep3,lisbon_pf_rep3_counts.txt,lisbon,pf,rep3
madagascar_as_rep1,madagascar_as_rep1_counts.txt,madagascar,as,rep1
madagascar_as_rep2,madagascar_as_rep2_counts.txt,madagascar,as,rep2
madagascar_as_rep3,madagascar_as_rep3_counts.txt,madagascar,as,rep3
madagascar_bp_rep1,madagascar_bp_rep1_counts.txt,madagascar,bp,rep1
madagascar_bp_rep2,madagascar_bp_rep2_counts.txt,madagascar,bp,rep2
madagascar_bp_rep3,madagascar_bp_rep3_counts.txt,madagascar,bp,rep3
madagascar_hb101_rep1,madagascar_hb101_rep1_counts.txt,madagascar,hb101,rep1
madagascar_hb101_rep2,madagascar_hb101_rep2_counts.txt,madagascar,hb101,rep2
madagascar_hb101_rep3,madagascar_hb101_rep3_counts.txt,madagascar,hb101,rep3
madagascar_m9_rep1,madagascar_m9_rep1_counts.txt,madagascar,m9,rep1
madagascar_m9_rep2,madagascar_m9_rep2_counts.txt,madagascar,m9,rep2
madagascar_m9_rep3,madagascar_m9_rep3_counts.txt,madagascar,m9,rep3
madagascar_op50_rep1,madagascar_op50_rep1_counts.txt,madagascar,op50,rep1
madagascar_op50_rep2,madagascar_op50_rep2_counts.txt,madagascar,op50,rep2
madagascar_op50_rep3,madagascar_op50_rep3_counts.txt,madagascar,op50,rep3
madagascar_pf_rep1,madagascar_pf_rep1_counts.txt,madagascar,pf,rep1
madagascar_pf_rep2,madagascar_pf_rep2_counts.txt,madagascar,pf,rep2
madagascar_pf_rep3,madagascar_pf_rep3_counts.txt,madagascar,pf,rep3
hawaii_as_rep1,hawaii_as_rep1_counts.txt,hawaii,as,rep1
hawaii_as_rep2,hawaii_as_rep2_counts.txt,hawaii,as,rep2
hawaii_as_rep3,hawaii_as_rep3_counts.txt,hawaii,as,rep3
hawaii_bp_rep1,hawaii_bp_rep1_counts.txt,hawaii,bp,rep1
hawaii_bp_rep2,hawaii_bp_rep2_counts.txt,hawaii,bp,rep2
hawaii_bp_rep3,hawaii_bp_rep3_counts.txt,hawaii,bp,rep3
hawaii_hb101_rep1,hawaii_hb101_rep1_counts.txt,hawaii,hb101,rep1
hawaii_hb101_rep2,hawaii_hb101_rep2_counts.txt,hawaii,hb101,rep2
hawaii_hb101_rep3,hawaii_hb101_rep3_counts.txt,hawaii,hb101,rep3
hawaii_m9_rep1,hawaii_m9_rep1_counts.txt,hawaii,m9,rep1
hawaii_m9_rep2,hawaii_m9_rep2_counts.txt,hawaii,m9,rep2
hawaii_m9_rep3,hawaii_m9_rep3_counts.txt,hawaii,m9,rep3
hawaii_op50_rep1,hawaii_op50_rep1_counts.txt,hawaii,op50,rep1
hawaii_op50_rep2,hawaii_op50_rep2_counts.txt,hawaii,op50,rep2
hawaii_op50_rep3,hawaii_op50_rep3_counts.txt,hawaii,op50,rep3
hawaii_pf_rep1,hawaii_pf_rep1_counts.txt,hawaii,pf,rep1
hawaii_pf_rep2,hawaii_pf_rep2_counts.txt,hawaii,pf,rep2
hawaii_pf_rep3,hawaii_pf_rep3_counts.txt,hawaii,pf,rep3
